,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
0,Rp 425 Juta,Cicilan: 1 Jutaan per bulan,Rumah Tinggal Akses Mobil Komplek Gbi Terusan Buahbatubandung ,"Buah Batu, Bandung",2,1,0,LT : 84 m²,LB : 56 m²
1,Rp 495 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Baru Siap Huni Komplek Permata Biru Dekat Upi Cibiru,"Cibiru, Bandung",2,1,1,LT : 87 m²,LB : 45 m²
2,"Rp 3,7 Miliar",Cicilan: 15 Jutaan per bulan,Rumah Dijual Kota Baru Parahyangan Full Renovasi,"Kota Baru Parahyangan, Bandung",4,3,0,LT : 162 m²,LB : 217 m²
3,"Rp 1,15 Miliar",Cicilan: 4 Jutaan per bulan,Rumah Baru Minimalis Di Margahayu Raya Bandung,"Margahayu, Bandung",4,3,2,LT : 110 m²,LB : 150 m²
4,"Rp 6,8 Miliar",Cicilan: 28 Jutaan per bulan,Rumah Strategis Turangga Mainroad Cocok Buat Kantor ,"Turangga, Bandung",4,3,5,LT : 518 m²,LB : 300 m²
5,"Rp 1,4 Miliar",Cicilan: 5 Jutaan per bulan,Dijual Rumah (bu) Ciwastra Ciganitri Nyaman One Gate System Ds,"Bandung Kota, Bandung",4,3,1,LT : 146 m²,LB : 150 m²
6,Rp 495 Juta,Cicilan: 2 Jutaan per bulan,"Rumah Bagus Unfurnished di Komplek Permata Biru Cibiru, Bandung","Cibiru, Bandung",2,1,1,LT : 87 m²,LB : 45 m²
7,Rp 492 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah cluster 2 Lantai SHM di Cikoneng Bojongsoang ,"Bojongsoang, Bandung",2,2,2,LT : 83 m²,LB : 45 m²
8,"Rp 1,15 Miliar",Cicilan: 4 Jutaan per bulan,"Miliki Rumah Siap Huni Minimalis di Cijerah,istana Regency Dudirman Kota Bandung","Cijerah, Bandung",3,2,1,LT : 68 m²,LB : 85 m²
9,Rp 700 Juta,Cicilan: 2 Jutaan per bulan,Jual Rumah Siap Huni Bumi Adipura Bandung Harga Terbaik,"Gede Bage, Bandung",2,1,1,LT : 72 m²,LB : 36 m²
10,"Rp 3,9 Miliar",Cicilan: 16 Jutaan per bulan,Jual Rumah 2 Lantai di Mainroad Cluster Mekarwangi Bandung ,"Mekar Wangi, Bandung",4,3,2,LT : 226 m²,LB : 340 m²
11,"Rp 1,6 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Murah Minimalis Area Turangga Sayap Salendro,"Turangga, Bandung",3,3,1,LT : 137 m²,LB : 120 m²
12,"Rp 1,59 Miliar",Cicilan: 6 Jutaan per bulan,Dijual Cluster Kuldesak di Gegerkalong Bandung,"Bandung Kota, Bandung",4,3,2,LT : 108 m²,LB : 120 m²
13,"Rp 2,4 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Sunrise Property Strategis di Cisitu Dago Dkt Setiabudi Bandung Utara ,"Setiabudi, Bandung",3,2,2,LT : 108 m²,LB : 100 m²
14,Rp 38 Miliar,Cicilan: 161 Jutaan per bulan,"Rumah At Jl Surya Kencana , Dago, Bandung","Dago, Bandung",7,6,0,LT : 1003 m²,LB : 688 m²
15,"Rp 4,35 Miliar",Cicilan: 18 Jutaan per bulan,"Rumah Bagus Unfurnished SHM di Batununggal, Bandung","Batununggal, Bandung",3,2,2,LT : 300 m²,LB : 200 m²
16,"Rp 7,5 Miliar",Cicilan: 31 Jutaan per bulan,Rumah Cijagra Raya Cocok Untuk Usaha Kantor,"Cijagra, Bandung",5,3,10,LT : 537 m²,LB : 300 m²
17,"Rp 3,9 Miliar",Cicilan: 16 Jutaan per bulan,Dijual Rumah Mekarwangi Bandung Mainroad Jarang Ada,"Mekar Wangi, Bandung",4,3,2,LT : 226 m²,LB : 340 m²
18,"Rp 1,6 Miliar",Cicilan: 6 Jutaan per bulan,"Rumah 2 Lantai Bagus Semi Furnished SHM di Gempol Asri, Bandung","Bandung Kulon, Bandung",3,2,1,LT : 173 m²,LB : 180 m²
19,Rp 523 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Scandinavian Shm Di Jatihandap Kota Bandung ,"Mandalajati, Bandung",2,1,1,LT : 66 m²,LB : 40 m²
20,Rp 499 Juta,Cicilan: 2 Jutaan per bulan,"Dijual Rumah Baru Cluster One Gate Di Jatihandap Kodya, Padasuka","Padasuka, Bandung",2,1,1,LT : 63 m²,LB : 40 m²
21,Rp 45 Miliar,Cicilan: 190 Jutaan per bulan,Rumah Terawat di Lokasi Prime Sayap Riau Bandung ,"Riau, Bandung",4,2,4,LT : 1089 m²,LB : 365 m²
22,"Rp 2,3 Miliar",Cicilan: 9 Jutaan per bulan,Rumah Sunrise Property Lux Strategis di Dago Dkt Setiabudi Bandung Utara ,"Dago, Bandung",3,2,2,LT : 112 m²,LB : 114 m²
23,Rp 677 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah 2 Lantai Baru Shm Di Padasuka Dkt Pusat Kota Bandung,"Padasuka, Bandung",2,2,1,LT : 72 m²,LB : 60 m²
24,Rp 485 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Scandinavian Di Jatihandap Dalam Kota Bandung Shm,"Padasuka, Bandung",2,1,1,LT : 60 m²,LB : 40 m²
25,Rp 485 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Kpr Di Jatihandap Dkt Cicaheum Padasuka Bandung ,"Padasuka, Bandung",2,1,1,LT : 72 m²,LB : 40 m²
26,Rp 523 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Cluster Shm Murah Di Jatihandap Dalam Kota Bandung ,"Padasuka, Bandung",2,1,1,LT : 66 m²,LB : 40 m²
27,Rp 675 Juta,Cicilan: 2 Jutaan per bulan,Dijual rumah 2 lantai KPR DP 0 persen di padasuka bandung ,"Padasuka, Bandung",2,2,0,LT : 72 m²,LB : 60 m²
28,Rp 485 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Murah Di Jatihandap Dkt Padasuka Cicadas Antapani ,"Padasuka, Bandung",2,1,1,LT : 72 m²,LB : 40 m²
29,Rp 485 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah KPR DP Ringan Di Jatihandap Atas Dkt Padasuka ,"Padasuka, Bandung",2,1,1,LT : 72 m²,LB : 40 m²
30,"Rp 1,15 Miliar",Cicilan: 4 Jutaan per bulan,Rumah Minimalis 2 Lantai Di Komplek Gegerkalong Permai Bandung Utara,"Geger Kalong, Bandung",3,3,2,LT : 125 m²,LB : 160 m²
31,Rp 450 Juta,Cicilan: 1 Jutaan per bulan,Dijual Rumah Murah Di Jatihandap Dkt Cicaheum Padasuka Cicaheum ,"Padasuka, Bandung",2,1,1,LT : 68 m²,LB : 55 m²
32,Rp 485 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Murah Kpr Cicilan Flat Di Jatihandap Dkt Padasuka B,"Padasuka, Bandung",2,1,1,LT : 72 m²,LB : 40 m²
33,Rp 595 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah 2 Lantai Di Jatihandap Dkt Padasuka Cicaheum Bandung,"Padasuka, Bandung",3,2,1,LT : 74 m²,LB : 60 m²
34,Rp 245 Juta,Cicilan: 1 Jutaan per bulan,Rumah Minimalis Modern Bandung Akses Tol Buahbatu,"Bojongsoang, Bandung",2,1,1,LT : 70 m²,LB : 45 m²
35,Rp 539 Juta,Cicilan: 2 Jutaan per bulan,Dijual rumah 2 lantai baru di jatihandap view kota bandung ,"Sayap Dago, Bandung",3,2,1,LT : 84 m²,LB : 55 m²
36,Rp 595 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Murah 2 Lantai Shmkpr Cicilan Flat Di Jatihandap,"Padasuka, Bandung",3,2,1,LT : 74 m²,LB : 60 m²
37,Rp 650 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Di Daerah Katumiri Cihanjuang Bandung Barat,"Cihanjuang, Bandung",3,2,0,LT : 139 m²,LB : 155 m²
38,Rp 245 Juta,Cicilan: 1 Jutaan per bulan,Rumah Minimalis Modern Bandung Akses Tol Buahbatu,"Bojongsoang, Bandung",2,1,1,LT : 70 m²,LB : 45 m²
39,Rp 539 Juta,Cicilan: 2 Jutaan per bulan,Dijual rumah 2 lantai baru di jatihandap view kota bandung ,"Sayap Dago, Bandung",3,2,1,LT : 84 m²,LB : 55 m²
40,Rp 595 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Murah 2 Lantai Shmkpr Cicilan Flat Di Jatihandap,"Padasuka, Bandung",3,2,1,LT : 74 m²,LB : 60 m²
41,Rp 650 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Di Daerah Katumiri Cihanjuang Bandung Barat,"Cihanjuang, Bandung",3,2,0,LT : 139 m²,LB : 155 m²
42,Rp 564 Juta,Cicilan: 2 Jutaan per bulan,Dijual Rumah Cluster Shm Di Jatihandap Kodya Bandung,"Padasuka, Bandung",2,1,1,LT : 74 m²,LB : 45 m²
43,Rp 825 Juta,Cicilan: 3 Jutaan per bulan,Dijual Rumah Mewah 2 Lantai Kavling Hook Di Padasuka Dkt Surapati,"Padasuka, Bandung",3,2,1,LT : 72 m²,LB : 60 m²
44,Rp 5 Miliar,Cicilan: 21 Jutaan per bulan,"Unik, cantik, menarik. Arsitektur Sunda. Kusen jati. Sayap Dago","Sayap Dago, Bandung",4,3,1,LT : 310 m²,LB : 214 m²
45,Rp 500 Juta,Cicilan: 2 Jutaan per bulan,Rumah Kpr Dp 1 Angsuran Mulai Rp. 2 Jutaan Di Padalarang Ngamprah Dekat Kantor Bupati Bandung Barat Kbb,"Cimahi, Bandung",2,2,1,LT : 72 m²,LB : 45 m²
46,Rp 825 Juta,Cicilan: 3 Jutaan per bulan,Rumah Baru Design Belanda Di Padasuka  Bandung Dekat Ke Widyatama,"Padasuka, Bandung",2,2,1,LT : 72 m²,LB : 60 m²
47,"Rp 1,7 Miliar",Cicilan: 7 Jutaan per bulan,Rumah Baru 2 lantai siap di huni daerah Pasir Impun,"Mandalajati, Bandung",4,3,0,LT : 120 m²,LB : 129 m²
48,Rp 750 Juta,Cicilan: 3 Jutaan per bulan,Rumah Baru Renov Ligar Selatan Dekat Borma Cikutra Taman M. Pahlawan ,"Cimenyan, Bandung",3,2,1,LT : 135 m²,LB : 70 m²
49,Rp 1 Miliar,Cicilan: 4 Jutaan per bulan,Rumah Dekat Mainroad Taman Kopo Indah 1 ,"Taman Kopo Indah, Bandung",4,1,2,LT : 104 m²,LB : 74 m²
50,"Rp 1,77 Miliar",Cicilan: 7 Jutaan per bulan,Rumah Nyaman Di Taman Kopo Indah 3,"Taman Kopo Indah, Bandung",4,3,2,LT : 153 m²,LB : 150 m²
51,"Rp 3,2 Miliar",Cicilan: 13 Jutaan per bulan,"Rumah 2 Lantai Bagus Semi Furnished SHM di Cluster Amanda, Bandung","Summarecon Bandung, Bandung",4,3,1,LT : 144 m²,LB : 180 m²
52,"Rp 1,85 Miliar",Cicilan: 7 Jutaan per bulan,Termurah Di Setiabudi Bandung Utara Rumah Baru 2 Lantai Dijual,"Setiabudi, Bandung",3,3,1,LT : 128 m²,LB : 140 m²
53,Rp 285 Juta,Cicilan: 1 Jutaan per bulan,Rumah Murah Bojong Soang Akses Dekat Stt Telkom Dan Tol Buah Batu,"Buah Batu, Bandung",2,1,1,LT : 70 m²,LB : 45 m²
54,"Rp 3,7 Miliar",Cicilan: 15 Jutaan per bulan,Rumah Full Renovasi Di Wangsakerta Kota Baru Parahyangan Bandung,"Kota Baru Parahyangan, Bandung",4,3,2,LT : 162 m²,LB : 217 m²
55,"Rp 3,25 Miliar",Cicilan: 13 Jutaan per bulan,"Rumah Bagus 1,5 Lantai di Singgasana Pradana, Mekar Wangi","Singgasana, Bandung",3,4,1,LT : 187 m²,LB : 250 m²
56,Rp 25 Miliar,Cicilan: 105 Jutaan per bulan,"Rumah 1 Lantai di Sayap Dago, Bandung Utara","Sayap Dago, Bandung",3,2,0,LT : 600 m²,LB : 450 m²
57,"Rp 1,2 Miliar",Cicilan: 5 Jutaan per bulan,Rumah di Taman Holis Indah Bandung. Dekat Tol Pasir Koja,"Holis Cigondewah, Bandung",2,2,0,LT : 112 m²,LB : 90 m²
58,"Rp 1,2 Miliar",Cicilan: 5 Jutaan per bulan,Dijual Rumah Bagus Tki di Bandung,"Bandung Kota, Bandung",3,2,1,LT : 102 m²,LB : 120 m²
59,"Rp 1,25 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Murah Di Turangga Dekat Trans Studio Mall Bandung,"Turangga, Bandung",2,2,1,LT : 120 m²,LB : 126 m²
60,"Rp 1,36 Miliar",Cicilan: 5 Jutaan per bulan,Rumah Baru Di Cluster Sayap Setraduta Bandung,"Setra Duta, Bandung",3,2,1,LT : 60 m²,LB : 90 m²
61,Rp 825 Juta,Cicilan: 3 Jutaan per bulan,Jual Rumah Sudah Renovasi Di Taman Cibaduyut Indah,"Cibaduyut, Bandung",3,2,0,LT : 84 m²,LB : 120 m²
62,Rp 4 Miliar,Cicilan: 16 Jutaan per bulan,Rumah 2 Lantai Shm Siap Huni Di Antapani,"Antapani, Bandung",4,5,2,LT : 210 m²,LB : 200 m²
63,"Rp 4,95 Miliar",Cicilan: 20 Jutaan per bulan,Dijual Rumah Bagus Strategis Di Komplek Elit Singgasana Pradana,"Singgasana, Bandung",4,3,2,LT : 200 m²,LB : 210 m²
64,"Rp 2,25 Miliar",Cicilan: 9 Jutaan per bulan,"Jual Mantap.. Rumah Tinggal Modern Minimalis Di Taman Holis Indah, Bandung","Holis Cigondewah, Bandung",4,3,2,LT : 135 m²,LB : 160 m²
65,"Rp 4,2 Miliar",Cicilan: 17 Jutaan per bulan,Rumah Besar Bagus Dijual Gunung Batu Cimahi ,"Gunung Batu, Bandung",5,4,1,LT : 420 m²,LB : 300 m²
66,Rp 2 Miliar,Cicilan: 8 Jutaan per bulan,Rumah 2 Lantai Shm Di Lembang Kota Hadap Tenggara,"Lembang, Bandung",5,2,1,LT : 162 m²,LB : 269 m²
67,Rp 10 Miliar,Cicilan: 42 Jutaan per bulan,Dijual Rumah Hunian Modern Classic di Setrasari Bandung,"Bandung Kota, Bandung",5,3,2,LT : 456 m²,LB : 260 m²
68,"Rp 1,45 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Baru Modern Minimalis Di Terusan Gegerkalong dekat Polban,"Sukasari, Bandung",3,3,1,LT : 72 m²,LB : 116 m²
69,"Rp 1,39 Miliar",Cicilan: 5 Jutaan per bulan,Turun Harga Lagi Rumah Modern 2 Lt Kompl. Pinus Regency Soekarno Hatta,"Soekarno Hatta, Bandung",4,3,1,LT : 120 m²,LB : 160 m²
70,Rp 250 Juta,Cicilan: 1 Jutaan per bulan,Rumah Murah Legalitas Shm Dekat Pusat Kota,"Ciwastra, Bandung",2,1,1,LT : 60 m²,LB : 36 m²
71,"Rp 3,8 Miliar",Cicilan: 16 Jutaan per bulan,Rumah Cantik Semi Villa di Cherry Field Interior Luxury Ballines Villa Full Furnished Jalan Double Way Depan + Belakang Bisa Akses Mobil,"Bojongsoang, Bandung",3,3,3,LT : 200 m²,LB : 170 m²
72,"Rp 5,5 Miliar",Cicilan: 23 Jutaan per bulan,Rumah Terawat Siap Huni di Setrasari Pasteur,"Setra Sari, Bandung",4,3,2,LT : 520 m²,LB : 250 m²
73,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,Dijual Rumah Full Furnished Komplek Setiabudi Regency Bandung Utara,"Setiabudi, Bandung",5,4,0,LT : 372 m²,LB : 162 m²
74,"Rp 7,5 Miliar",Cicilan: 31 Jutaan per bulan,"Rumah Besar Asri Di Turangga, Bandung Kota","Turangga, Bandung",5,4,0,LT : 470 m²,LB : 250 m²
75,Rp 5 Miliar,Cicilan: 21 Jutaan per bulan,Rumah 2 Lantai Semi Furnished Di Perumahan Istana Regency,"Pasteur, Bandung",4,3,1,LT : 345 m²,LB : 340 m²
76,"Rp 1,05 Miliar",Cicilan: 4 Jutaan per bulan,Dijual Rumah Cantik Furnish di Kopo Safira Bandung ,"Kopo, Bandung",2,1,1,LT : 84 m²,LB : 50 m²
77,"Rp 3,5 Miliar",Cicilan: 14 Jutaan per bulan,"Rumah Luas 2 Lantai Di Sarijadi Baru, Sarijadi Kota Bandung","Sarijadi, Bandung",5,2,1,LT : 296 m²,LB : 200 m²
78,"Rp 2,75 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Hitung Tanah Dalam Komplek di Cigadung,"Cigadung, Bandung",5,2,2,LT : 344 m²,LB : 200 m²
79,Rp 740 Juta,Cicilan: 3 Jutaan per bulan,Dijual Rumah Cipageran Bandung,"Cimahi, Bandung",4,2,0,LT : 206 m²,LB : 200 m²
80,Rp 495 Juta,Cicilan: 2 Jutaan per bulan,"Rumah Sudah Renovasi Unfurnished SHM di Permata Biru Cibiru, Bandung","Cibiru, Bandung",2,1,0,LT : 87 m²,LB : 45 m²
81,"Rp 4,25 Miliar",Cicilan: 18 Jutaan per bulan,Dijual Rumah Siap Huni Di Batununggal Indah Bandung,"Batununggal, Bandung",3,2,1,LT : 240 m²,LB : 200 m²
82,Rp 250 Juta,Cicilan: 1 Jutaan per bulan,Rumah Murah Legalitas Shm Dekat Pusat Kota,"Soekarno Hatta, Bandung",2,1,1,LT : 60 m²,LB : 22 m²
83,"Rp 2,1 Miliar",Cicilan: 8 Jutaan per bulan,Dijual Rumah Bagus Di Sukahaji Lokasi Strategis Dekat Kampus Upi Setiabudi Bandung,"Geger Kalong, Bandung",5,4,1,LT : 113 m²,LB : 145 m²
84,Rp 6 Miliar,Cicilan: 25 Jutaan per bulan,"Rumah Keluarga Nyaman Di Malabar, Bandung Kota","Lengkong, Bandung",5,3,0,LT : 283 m²,LB : 220 m²
85,"Rp 1,25 Miliar",Cicilan: 5 Jutaan per bulan,Dijual Rumah Baru Nyawan Siap Huni Komplek Bumi Asri Padasuka Bandung,"Cikutra, Bandung",4,3,0,LT : 151 m²,LB : 170 m²
86,"Rp 1,5 Miliar",Cicilan: 6 Jutaan per bulan,"Dijual Rumah di Daerah Antapani, Strategis, Asri Dan Tenang.","Antapani, Bandung",3,2,0,LT : 127 m²,LB : 110 m²
87,Rp 55 Miliar,Cicilan: 233 Jutaan per bulan,"Rumah Hoek Langka Sayap Dago, Strategis Cocok Untuk Usaha","Sayap Dago, Bandung",10,10,10,LT : 1345 m²,LB : 400 m²
88,"Rp 1,35 Miliar",Cicilan: 5 Jutaan per bulan,Dijual Rumah Dalam Komplek Muarasari Sayap Leuwi Panjang,"Leuwi Panjang, Bandung",3,2,0,LT : 108 m²,LB : 95 m²
89,Rp 2 Miliar,Cicilan: 8 Jutaan per bulan,Rumah 3 Lantai Di Jalan Neptunus Selatan Buah Batu,"Buah Batu, Bandung",5,4,2,LT : 120 m²,LB : 220 m²
90,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,Murah Bawah Harga Pasar Njop 5 M Rumah Besar Di Jati Mulya Kircon,"Kiaracondong, Bandung",4,2,0,LT : 753 m²,LB : 400 m²
91,"Rp 2,6 Miliar",Cicilan: 11 Jutaan per bulan,"Rumah 2 Lantai Bagus SHM di Jalan Besar, Bandung","Kopo Permai, Bandung",5,4,1,LT : 243 m²,LB : 300 m²
92,"Rp 2,25 Miliar",Cicilan: 9 Jutaan per bulan,Dijual Rumah Minimalis / Kost² Cigadung Mainroad Bandng - Ds,"Bandung Kota, Bandung",8,8,1,LT : 132 m²,LB : 180 m²
93,Rp 950 Juta,Cicilan: 4 Jutaan per bulan,Rumah 2 Lantai Di Sariwangi Village Dekat Pvj Mal ,"Sariwangi, Bandung",2,2,2,LT : 76 m²,LB : 50 m²
94,"Rp 4,8 Miliar",Cicilan: 20 Jutaan per bulan,Villa Kurma Astaraja Di Bandung,"Banjaran, Bandung",3,3,30,LT : 4000 m²,LB : 800 m²
95,Rp 775 Juta,Cicilan: 3 Jutaan per bulan,Rumah Minimalis di Dalam Cluster di Golf Raya Arcamanik ,"Arcamanik, Bandung",2,1,1,LT : 97 m²,LB : 55 m²
96,"Rp 2,9 Miliar",Cicilan: 12 Jutaan per bulan,Rumah Bagus Diarea Buah Batu Dekat Pusat Pariwisata Dan Kuliner,"Lengkong, Bandung",6,3,1,LT : 223 m²,LB : 168 m²
97,Rp 750 Juta,Cicilan: 3 Jutaan per bulan,"Nego Rumah Minimalis Modern Di Cihanjuang Cisasawi, Bandung Barat","Cihanjuang, Bandung",2,1,1,LT : 154 m²,LB : 70 m²
98,"Rp 2,3 Miliar",Cicilan: 9 Jutaan per bulan,For Sale Rumah Baru Minimalis Taman Holis Indah 1 Full Furnished ,"Holis Cigondewah, Bandung",3,3,3,LT : 175 m²,LB : 110 m²
