,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
0,"Rp 1,17 Miliar",Cicilan: 4 Jutaan per bulan,No Data,"Cigadung, Bandung",5,4,2,LT : 152 m²,LB : 250 m²
1,Rp 473 Juta,Cicilan: 1 Jutaan per bulan,No Data,"Cimenyan, Bandung",2,1,0,LT : 82 m²,LB : 36 m²
2,Rp 8 Miliar,Cicilan: 30 Jutaan per bulan,No Data,"Riau, Bandung",11,3,2,LT : 390 m²,LB : 265 m²
3,"Rp 2,9 Miliar",Cicilan: 11 Jutaan per bulan,No Data,"Margahayu, Bandung",6,5,1,LT : 254 m²,LB : 475 m²
4,"Rp 1,8 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Jatinangor, Bandung",6,6,3,LT : 135 m²,LB : 120 m²
5,"Rp 3,9 Miliar",Cicilan: 14 Jutaan per bulan,No Data,"Batununggal, Bandung",4,4,0,LT : 180 m²,LB : 198 m²
6,"Rp 4,25 Miliar",Cicilan: 16 Jutaan per bulan,No Data,"Cigadung, Bandung",3,3,1,LT : 264 m²,LB : 100 m²
7,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,No Data,"Taman Kopo Indah, Bandung",4,3,1,LT : 144 m²,LB : 220 m²
8,"Rp 6,5 Miliar",Cicilan: 24 Jutaan per bulan,No Data,"Dago, Bandung",6,4,3,LT : 705 m²,LB : 276 m²
9,Rp 4 Miliar,Cicilan: 15 Jutaan per bulan,No Data,"Surya Sumantri, Bandung",3,5,0,LT : 192 m²,LB : 320 m²
10,Rp 750 Juta,Cicilan: 2 Jutaan per bulan,No Data,"Bojongsoang, Bandung",3,2,0,LT : 79 m²,LB : 65 m²
11,"Rp 5,37 Miliar",Cicilan: 20 Jutaan per bulan,No Data,"Kota Baru Parahyangan, Bandung",3,3,1,LT : 300 m²,LB : 245 m²
12,Rp 13 Miliar,Cicilan: 49 Jutaan per bulan,No Data,"Dago, Bandung",8,6,2,LT : 200 m²,LB : 550 m²
13,"Rp 4,25 Miliar",Cicilan: 16 Jutaan per bulan,No Data,"Pasteur, Bandung",4,3,2,LT : 255 m²,LB : 250 m²
14,Rp 23 Miliar,Cicilan: 88 Jutaan per bulan,No Data,"Sukaluyu, Bandung",15,5,20,LT : 794 m²,LB : 794 m²
15,Rp 678 Juta,Cicilan: 2 Jutaan per bulan,No Data,"Arcamanik, Bandung",2,2,0,LT : 60 m²,LB : 50 m²
16,"Rp 1,7 Miliar",Cicilan: 6 Jutaan per bulan,No Data,"Geger Kalong, Bandung",3,2,1,LT : 125 m²,LB : 120 m²
17,Rp 696 Juta,Cicilan: 2 Jutaan per bulan,No Data,"Antapani, Bandung",2,2,0,LT : 81 m²,LB : 51 m²
18,Rp 489 Juta,Cicilan: 1 Jutaan per bulan,No Data,"Arcamanik, Bandung",2,1,0,LT : 92 m²,LB : 36 m²
19,Rp 750 Juta,Cicilan: 2 Jutaan per bulan,No Data,"Cibeunying, Bandung",2,2,0,LT : 72 m²,LB : 62 m²
20,Rp 550 Juta,Cicilan: 2 Jutaan per bulan,No Data,"Cibiru, Bandung",2,1,0,LT : 100 m²,LB : 51 m²
21,Rp 750 Juta,Cicilan: 2 Jutaan per bulan,No Data,"Arcamanik, Bandung",2,2,0,LT : 61 m²,LB : 61 m²
22,"Rp 6,2 Miliar",Cicilan: 23 Jutaan per bulan,No Data,"BKR, Bandung",6,5,6,LT : 519 m²,LB : 320 m²
23,Rp 750 Juta,Cicilan: 2 Jutaan per bulan,No Data,"Bojongsoang, Bandung",3,3,0,LT : 78 m²,LB : 75 m²
24,"Rp 6,5 Miliar",Cicilan: 24 Jutaan per bulan,No Data,"Geger Kalong, Bandung",4,2,4,LT : 745 m²,LB : 200 m²
25,Rp 485 Juta,Cicilan: 1 Jutaan per bulan,No Data,"Bojongsoang, Bandung",2,1,0,LT : 36 m²,LB : 72 m²
26,Rp 481 Juta,Cicilan: 1 Jutaan per bulan,No Data,"Cimenyan, Bandung",2,1,0,LT : 75 m²,LB : 30 m²
27,Rp 407 Juta,Cicilan: 1 Jutaan per bulan,No Data,"Cimenyan, Bandung",2,1,0,LT : 85 m²,LB : 30 m²
28,Rp 396 Juta,Cicilan: 1 Jutaan per bulan,No Data,"Cicaheum, Bandung",2,1,0,LT : 106 m²,LB : 30 m²
29,Rp 900 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Antapani, Bandung",3,2,0,LT : 60 m²,LB : 90 m²
30,"Rp 2,45 Miliar",Cicilan: 9 Jutaan per bulan,No Data,"Turangga, Bandung",4,3,2,LT : 100 m²,LB : 170 m²
31,"Rp 5,75 Miliar",Cicilan: 22 Jutaan per bulan,No Data,"Cijagra, Bandung",5,4,0,LT : 779 m²,LB : 255 m²
32,"Rp 3,3 Miliar",Cicilan: 12 Jutaan per bulan,No Data,"Batununggal, Bandung",5,4,2,LT : 168 m²,LB : 200 m²
33,Rp 900 Juta,Cicilan: 3 Jutaan per bulan,No Data,"Antapani, Bandung",3,2,0,LT : 60 m²,LB : 90 m²
34,"Rp 2,8 Miliar",Cicilan: 10 Jutaan per bulan,No Data,"Batununggal, Bandung",6,4,1,LT : 180 m²,LB : 205 m²
35,"Rp 1,5 Miliar",Cicilan: 5 Jutaan per bulan,No Data,"Batununggal, Bandung",3,2,0,LT : 193 m²,LB : 70 m²
36,Rp 550 Juta,Cicilan: 2 Jutaan per bulan,No Data,"Parongpong, Bandung",2,1,0,LT : 61 m²,LB : 38 m²
37,Rp 650 Juta,Cicilan: 2 Jutaan per bulan,No Data,"Arcamanik, Bandung",2,2,0,LT : 100 m²,LB : 45 m²
38,"Rp 2,6 Miliar",Cicilan: 9 Jutaan per bulan,No Data,"Geger Kalong, Bandung",5,3,2,LT : 250 m²,LB : 180 m²
