,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
0,Rp 15 Miliar,Cicilan: 57 Jutaan per bulan,"Dijual Rumah Lux ,KANTOR Multi Fungsi Di Pusat Kota Bandung","Bandung Kota, Bandung",4,4,1,LT : 340 m²,LB : 700 m²
1,"Rp 14,6 Miliar",Cicilan: 56 Jutaan per bulan,Rumah dago pakar resort siap huni sejuk asri,"Dago Pakar, Bandung",8,4,4,LT : 1160 m²,LB : 1000 m²
2,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,Dijual Rumah Tki Taman Kopo Indah 3,"Taman Kopo Indah, Bandung",4,3,3,LT : 176 m²,LB : 240 m²
3,"Rp 2,95 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Minimalis 2 Lt & Murah Batununggal,"Batununggal, Bandung",3,2,0,LT : 162 m²,LB : 200 m²
4,"Rp 3,4 Miliar",Cicilan: 13 Jutaan per bulan,Rumah Exclusive dan Menarik di Batununggal Permai langsung Huni,"Batununggal, Bandung",4,3,0,LT : 190 m²,LB : 300 m²
5,"Rp 3,3 Miliar",Cicilan: 12 Jutaan per bulan,Rumah  Minimalis 2 LT yang Exclusive  Batununggal,"Batununggal, Bandung",4,3,0,LT : 180 m²,LB : 245 m²
6,Rp 950 Juta,Cicilan: 3 Jutaan per bulan,Rumah 2 Lantai Siap Huni Di Taman Cibaduyut Indah 1,"Cibaduyut, Bandung",4,2,1,LT : 88 m²,LB : 110 m²
7,Rp 800 Juta,Cicilan: 3 Jutaan per bulan,For Sale Rumah Bangunan Baru di Antapani Dalam Cluster,"Antapani, Bandung",2,1,1,LT : 68 m²,LB : 40 m²
8,"Rp 3,2 Miliar",Cicilan: 12 Jutaan per bulan,Rumah Baru Minimalis Siap Huni di Tarubhawana Kbp,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 165 m²,LB : 99 m²
9,"Rp 2,3 Miliar",Cicilan: 8 Jutaan per bulan,Rumah Minimalis Area Kembar Bandung Pusat,"BKR, Bandung",5,1,1,LT : 187 m²,LB : 100 m²
10,"Rp 2,47 Miliar",Cicilan: 9 Jutaan per bulan,Rumah Keren Modern Minimalis di Bandung Barat Dekat Kantor Bupati,"Bandung Barat, Bandung",5,4,0,LT : 270 m²,LB : 340 m²
11,"Rp 5,8 Miliar",Cicilan: 22 Jutaan per bulan,Rumah Perlu Renov Di Turangga Cocok Untuk Tinggal Atau Kantor,"Turangga, Bandung",4,3,2,LT : 391 m²,LB : 350 m²
12,"Rp 3,5 Miliar",Cicilan: 13 Jutaan per bulan,Dijual Rumah Siap Huni Di Antapani Bandung Kota,"Bandung Timur, Bandung",5,4,4,LT : 211 m²,LB : 250 m²
13,"Rp 1,5 Miliar",Cicilan: 5 Jutaan per bulan,Dijual Rumah Siap Huni Di Antapani Bandung Kota,"Bandung Timur, Bandung",3,3,1,LT : 90 m²,LB : 120 m²
14,"Rp 2,45 Miliar",Cicilan: 9 Jutaan per bulan,Rumah Terawat Luas250 Di Sayap Maskumambang Karawitan Turangga,"Turangga, Bandung",5,3,1,LT : 258 m²,LB : 180 m²
15,"Rp 2,49 Miliar",Cicilan: 9 Jutaan per bulan,Dijual Rumah Dikotabaru Parahyangan Full Futnished Siap Huni,"Kota Baru Parahyangan, Bandung",3,2,1,LT : 126 m²,LB : 3100 m²
16,Rp 11 Miliar,Cicilan: 42 Jutaan per bulan,"Rumah Lokasi Strategis Cocok Utk Usaha Di Sabang, Kota Bandung.","Bandung Wetan, Bandung",4,4,1,LT : 407 m²,LB : 375 m²
17,"Rp 2,4 Miliar",Cicilan: 9 Jutaan per bulan,Rumah Town House Mewah 3 Lantai Istana Pasteur Bandung  Dekat Akses Tol Pasteur,"Pasteur, Bandung",3,4,2,LT : 97 m²,LB : 280 m²
18,"Rp 1,1 Miliar",Cicilan: 4 Jutaan per bulan,Rumah Terawat Luas120 Di Komplek Kiarasari Buahbatu,"Buah Batu, Bandung",3,3,2,LT : 120 m²,LB : 100 m²
19,"Rp 2,6 Miliar",Cicilan: 9 Jutaan per bulan,Rumah mewah minimalis luas244 di komplek buahbatu regency,"Buah Batu, Bandung",4,3,1,LT : 244 m²,LB : 350 m²
20,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,Murah Dan Strategis Rumah Bagus Di Rajamantri Situsari Buahbatu,"Turangga, Bandung",4,3,2,LT : 213 m²,LB : 200 m²
21,"Rp 2,5 Miliar",Cicilan: 9 Jutaan per bulan,"Rumah Murah Dikomplek Mitra Dago Parahyangan, Bandung","Antapani, Bandung",4,2,1,LT : 216 m²,LB : 200 m²
22,"Rp 2,75 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Murah Bawah Njop Dekat Kampus Maranatha Pasteur Bandung,"Pasteur, Bandung",5,4,1,LT : 286 m²,LB : 252 m²
23,"Rp 2,95 Miliar",Cicilan: 11 Jutaan per bulan,Rumah Murah Siap Huni di Pasteur Dekat Tol Bandung,"Pasteur, Bandung",4,2,1,LT : 326 m²,LB : 250 m²
