,Price,Installment,Description,Location,Bedroom,Bathroom,Carport,Land,Building
0,Rp 775 Juta,Cicilan: 3 Jutaan per bulan,Dijual Rumah Baru Cihanjuang Dekat Pemkot Siap Huni,"Cihanjuang, Bandung",2,1,1,LT : 100 m²,LB : 60 m²
1,Rp 830 Juta,Cicilan: 3 Jutaan per bulan,"Modal 10jt Angsuran 3,3jtan Rumah Gress Klasik Di Cikoneng Bandung Dkt Pintu Tol 7rg90","Terusan Buah Batu, Bandung",3,2,0,LT : 50 m²,LB : 54 m²
2,Rp 590 Juta,Cicilan: 2 Jutaan per bulan,Rumah Baru Dengan Dp 2jt Di Margaasih Bandung Harga Murah,"Margaasih, Bandung",1,1,0,LT : 60 m²,LB : 36 m²
3,Rp 550 Juta,Cicilan: 2 Jutaan per bulan,Rumah Murah Gbr Cilame Permata Haji Gofur Bandung Barat,"Ngamprah, Bandung",4,2,1,LT : 105 m²,LB : 90 m²
4,"Rp 2,5 Miliar",Cicilan: 10 Jutaan per bulan,Rumah Baru 2 Lantai  di Area Turangga Bandung,"Turangga, Bandung",3,3,0,LT : 130 m²,LB : 108 m²
5,"Rp 2,45 Miliar",Cicilan: 9 Jutaan per bulan,Rumah baru siap huni di Buah Batu lokasi strategis di tengah Kota Bandung,"Turangga, Bandung",4,3,2,LT : 100 m²,LB : 170 m²
6,"Rp 3,5 Miliar",Cicilan: 14 Jutaan per bulan,Rumah Cisaranten Kulon Cocok Untuk Rumah Tinggal Kantor Usaha,"Arcamanik, Bandung",5,4,0,LT : 600 m²,LB : 300 m²
7,"Rp 1,85 Miliar",Cicilan: 7 Jutaan per bulan,"Rumah Bagus di Bumi Sariwangi, Bandung","Parongpong, Bandung",3,2,1,LT : 179 m²,LB : 130 m²
8,Rp 775 Juta,Cicilan: 3 Jutaan per bulan,Rumah Murah Terawat Siap Huni Cisaranten Arcamanik Bandung,"Arcamanik, Bandung",4,2,0,LT : 88 m²,LB : 110 m²
9,"Rp 1,65 Miliar",Cicilan: 6 Jutaan per bulan,Rumah Bagus 2 Lantai di komplek Cisaranten Kulon Bandung,"Arcamanik, Bandung",5,2,0,LT : 186 m²,LB : 210 m²
10,"Rp 1,3 Miliar",Cicilan: 5 Jutaan per bulan,Rumah 2 Lantai Siap Huni Arcamanik Endah,"Arcamanik, Bandung",4,2,0,LT : 120 m²,LB : 220 m²
11,Rp 850 Juta,Cicilan: 3 Jutaan per bulan,Rumah siap huni di Kopo Safira Bandung Bagus,"Taman Kopo Indah, Bandung",2,1,1,LT : 85 m²,LB : 50 m²
12,Rp 850 Juta,Cicilan: 3 Jutaan per bulan,Rumah Siap Huni Di Cisaranten Kulon Kota Bandung,"Arcamanik, Bandung",3,1,0,LT : 120 m²,LB : 103 m²
